SampleName,Phase_PSF,SampleNr,Accession,Domestication,Cat_treatment,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,GSL_leaf_analyis,C_N_Determination,Leave_samples_left_over_after_GSL_analysis,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_samples_left_over_after_GSL_analysis,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Gluconasturtiin ,L_Neoglucobrassicin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,L_N_content,L_C_content,L_C_N_ratio,L_Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,Root_Weight,Note_RootBiomass
C040,CP,40,CD,Cultivated,Mb,,2,20,2,4,20,8,5,4,476,5,1,,,0,,0,1,,0,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,1.9416,,5,5,,,,
C041,CP,41,DD,Wild,Co,,3,1,1,1,1,1,2,1,5,0,2,,,1,,0,0,,0,0,,,,,,,,,,,,5.9,0.08,0.07,0.01,0,0,0.07,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C042,CP,42,DD,Wild,Co,,3,2,1,1,2,1,3,1,33,0,2,,,1,,0,0,,0,0,,,,,,,,,,,,11,0.23,0.22,0.01,0.08,0,0.14,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C043,CP,43,DD,Wild,Co,,3,3,1,1,3,1,4,4,64,0,2,,,0,,1,1,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C044,CP,44,DD,Wild,Co,,3,4,1,1,4,2,3,2,82,0,2,,,0,,0,0,,0,0,,,,,,,,,,,does not exist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C045,CP,45,DD,Wild,Co,,3,5,1,1,5,2,2,2,102,0,2,,,0,,1,1,,0,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C046,CP,46,DD,Wild,Co,,3,6,1,2,6,3,6,3,143,0,2,,,0,,0,0,,0,0,,,,,,,,,,,"Plant was small, not infested with Mb, plant does not exist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C047,CP,47,DD,Wild,Co,,3,7,1,2,7,3,5,4,164,0,2,,,0,,0,1,,1,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,3.31,2.31,0.69,2.03,0.04,0.07,0,0.17,0.3,0.25,0.14,0.29,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,,,,
C048,CP,48,DD,Wild,Co,,3,8,1,2,8,3,4,3,183,0,2,,,0,,0,1,,0,1,,,,,,,,,,,"Plant was small, infested with Mb?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C049,CP,49,DD,Wild,Co,,3,9,1,2,9,4,4,2,206,0,2,,,0,,0,0,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
