SampleName,SampleNr,Accession,Domestication,Treatment,TreatmentNr,PlantNr,Greenhouse,Table,block_n,Rows,Cols,Plots,Induction.Nr.CP,Induction.Nr.FP,Block_n,Rhizosphere_soil_analysis,GSL_Root_analysis,Root_samples_left_over_after_GSL_analysis,GSL_leaf_analyis,Leave_samples_left_over_after_GSL_analysis,notes_CP,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Neoglucobrassicin,L_Gluconasturtiin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival
C080,80,DD,Wild,Mb,4,20,2,4,20,6,2,478,8,2,20,1,0,1,0,0,Rhizosphere sample may be bulk soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3898,,8,5
CE24,E24,DD,Wild,Mb,4,NA,2,4,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192333333,,8,3
C081,81,GO1,Cultivated,Co,5,1,1,1,1,4,1,13,0,1,1,0,0,0,1,0,"Plant was small, infested with Mb?",5.9,0.02,0,0.01,0,0,0,0,0,0.01,0,0,0,NA,NA,NA,NA,"Plant was small, infested with Mb?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C082,82,GO1,Cultivated,Co,5,2,1,1,2,3,3,35,0,1,2,0,0,0,1,0,"Plant was small, infested with Mb?",6.7,1.15,1.13,0.01,0,0,1.13,0,0,0.01,0,0,0,NA,NA,NA,NA,"Plant was small, infested with Mb?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C083,83,GO1,Cultivated,Co,5,5,1,1,5,3,1,105,0,1,5,0,0,0,1,0,,6,0.3,0.28,0.01,0,0,0.28,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C084,84,GO1,Cultivated,Co,5,6,1,2,6,1,2,122,0,1,6,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C085,85,GO1,Cultivated,Co,5,7,1,2,7,2,4,152,0,1,7,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C086,86,GO1,Cultivated,Co,5,3,1,1,3,2,2,54,0,1,3,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C087,87,GO1,Cultivated,Co,5,4,1,1,4,1,3,75,0,1,4,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C088,88,GO1,Cultivated,Co,5,8,1,2,8,6,1,189,0,1,8,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,0.27,0.02,0.2,0,0.02,0,0,0,0.06,0.05,0.09,0.05,NA,NA,NA,NA,,NA,NA,NA,NA
C089,89,GO1,Cultivated,Co,5,9,1,2,9,2,3,199,0,1,9,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,0.6,0.08,0.51,0.01,0,0.05,0,0.02,0.16,0.13,0.22,0,NA,NA,NA,NA,,NA,NA,NA,NA
