SampleName,SampleNr,Accession,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,Leaf_Disk_GSL_Sample,C_N_Determination,Leftover_GSL_samples,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note_FP,GSL_Leaf_weight_mg,Total_GSL,Total_Aliphatic,Total_Indol,Progoitrin,Glucoraphanin,Sinigrin,Gluconapin,Glucoerucin,Glucobrassicin,Methoxy_glucobrassicin,Gluconasturtiin ,Neoglucobrassicin,X3MSOP,X5MSOP,X4.Pent,X4OHI3M,Note_GSL,N_content,C_content,C_N_ratio,Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,LnRR_Survival_PerBatch,LnRR,LnRR_Surv_Dom_PerBatch,LnRR_Surv_Dom,Root_Weight,Note_RootBiomass,Domestication
F391,391,RI,Mb,20,11,1,1,1,1,3,5,NA,3,2,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,star (1 cat was found lateron),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.763,,2,1,1,0.5,0.913043478,0.755555556,0.554677506,0.489918939,,,Cultivated
F392,392,RI,Mb,20,12,1,1,1,1,1,5,NA,3,2,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,soil was relatively wet duyring rhizosphere collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.713,,2,1,1,0.5,0.913043478,0.755555556,0.554677506,0.489918939,,,Cultivated
F481,481,RI,S,25,1,1,1,1,1,4,5,NA,NA,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,0.3575,,Cultivated
CTRL1,U1,Un,S,26,1,1,1,1,1,6,5,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
F441,441,VL,Co,23,1,1,1,1,1,5,2,18,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.924,,2,1,1,0.5,,,,,0.9206,,Wild
F461,461,VL,Mb,24,1,1,1,1,1,3,3,11,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.73,,2,1,1,0.5,0.55,0.523809524,0.57360203,,1.0157,also labeled as E91,Wild
F002,2,CD,Co,1,2,1,1,2,1,1,3,27,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"One caterpillar added because one caterpillar did not survive infestion the day before., Number of caterpillar found in tubes did not equal number of caterpillar written down.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,0.8537,Root weight is in g,Cultivated
F022,22,CD,Mb,2,2,1,1,2,1,4,1,37,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.058,,2,1,1,0.5,0.846153846,0.647058824,0.554677506,0.489918939,0.6064,,Cultivated
F042,42,DD,Co,3,2,1,1,2,1,3,1,33,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.416,,2,2,0,1,,,,,0.671,,Wild
F062,62,DD,Mb,4,2,1,1,2,1,3,2,34,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.018,,2,1,1,0.5,0.733333333,0.846153846,0.57360203,0.544463983,0.4699,,Wild
